Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
208,14,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,AN-225,
209,14,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,AN-70,
210,14,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,AN-72,
211,14,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,AV-8B,
212,14,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,B-1B,
213,14,B-2,B-2,B-2,B-2,B-2,B-2,B-2,B-2,B-2,B-2,B-2,B-2,B-2,B-2,B-2,
214,14,B-52,B-52,B-52,B-52,B-52,B-52,B-52,B-52,B-52,B-52,B-52,B-52,B-52,B-52,B-52,
215,14,C-130,C-130,C-130,C-130,C-130,C-130,C-130,C-130,C-130,C-130,C-130,C-130,C-130,C-130,C-130,
216,14,C-141,C-141,C-141,C-141,C-141,C-141,C-141,C-141,C-141,C-141,C-141,C-141,C-141,C-141,C-141,
217,14,C-17,C-17,C-17,C-17,C-17,C-17,C-17,C-17,C-17,C-17,C-17,C-17,C-17,C-17,C-17,
218,14,C-5,C-5,C-5,C-5,C-5,C-5,C-5,C-5,C-5,C-5,C-5,C-5,C-5,C-5,C-5,
219,14,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,CH-46,
220,14,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,CH-47,
221,14,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,CH-53,
222,14,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,
223,14,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3,
224,14,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8,
225,14,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,EA-6,
226,14,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,EF-111,
227,14,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,EF-2000,19
228,14,F-111,F-111,F-111,F-111,F-111,F-111,F-111,F-111,F-111,F-111,F-111,F-111,F-111,F-111,F-111,
229,14,F-117,F-117,F-117,F-117,F-117,F-117,F-117,F-117,F-117,F-117,F-117,F-117,F-117,F-117,F-117,
230,14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,F-14,
231,14,F-15,F-15,F-15,F-15,F-15,F-15,F-15,F-15,F-15,F-15,F-15,F-15,F-15,F-15,F-15,
232,14,F-16,F-16,F-16,F-16,F-16,F-16,F-16,F-16,F-16,F-16,F-16,F-16,F-16,F-16,F-16,
233,14,F-18,F-18,F-18,F-18,F-18,F-18,F-18,F-18,F-18,F-18,F-18,F-18,F-18,F-18,F-18,
234,14,F-22,F-22,F-22,F-22,F-22,F-22,F-22,F-22,F-22,F-22,F-22,F-22,F-22,F-22,F-22,
235,14,F-4,F-4,F-4,F-4,F-4,F-4,F-4,F-4,F-4,F-4,F-4,F-4,F-4,F-4,F-4,
236,14,F-5,F-5,F-5,F-5,F-5,F-5,F-5,F-5,F-5,F-5,F-5,F-5,F-5,F-5,F-5,
237,14,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,IL-28,
238,14,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,IL-76,
239,14,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,IL-78,
240,14,J-5,J-5,J-5,J-5,J-5,J-5,J-5,J-5,J-5,J-5,J-5,J-5,J-5,J-5,J-5,
241,14,J-7,J-7,J-7,J-7,J-7,J-7,J-7,J-7,J-7,J-7,J-7,J-7,J-7,J-7,J-7,
242,14,J-8,J-8,J-8,J-8,J-8,J-8,J-8,J-8,J-8,J-8,J-8,J-8,J-8,J-8,J-8,
243,14,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,KA-50,
244,14,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,KC-10,
245,14,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,KC-130,
246,14,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,KC-135,
247,14,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,MD-500,
248,14,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,Mi-24,
249,14,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,Mi-26,
250,14,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,Mi-28,
251,14,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,Mi-8,
252,14,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,MiG-19,
253,14,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,MiG-21,
254,14,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,MiG-23,
255,14,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,MiG-25,
256,14,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,MiG-27,
257,14,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,MiG-29,
258,14,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,MiG-31,
259,14,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,Mirage,19
260,14,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,OH-58,
261,14,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,OV-10,
262,14,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,
263,14,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,Q-5,
264,14,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,RC-135,
265,14,S-3,S-3,S-3,S-3,S-3,S-3,S-3,S-3,S-3,S-3,S-3,S-3,S-3,S-3,S-3,
266,14,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,SR-71,
267,14,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,Su-15,
268,14,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,Su-24,
269,14,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,Su-25,
270,14,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,Su-27,
271,14,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,Su-35,19
272,14,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,Su-7,
273,14,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,Tu-16,
274,14,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,Tu-160,
275,14,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,Tu-22,
276,14,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,Tu-95,
277,14,U-2,U-2,U-2,U-2,U-2,U-2,U-2,U-2,U-2,U-2,U-2,U-2,U-2,U-2,U-2,
278,14,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,UH-1,
279,14,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,UH-60,
280,14,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,Y-5,
281,14,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,Y-8,
282,14,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,19
283,14,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,19
284,14,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,attack,
285,14,transport,transport,transport,transport,transport,transport,transport,transport,transport,transport,transport,transport,transport,transport,transport,19
286,14,tanker,tanker,tanker,tanker,tanker,tanker,tanker,tanker,tanker,tanker,tanker,tanker,tanker,tanker,tanker,
287,12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,19
288,14,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,19
289,12,120 knots,120 knots,120 knots,120 knots,120 knots,120 knots,120 knots,120 knots,120 knots,120 knots,120 knots,120 knots,,,120 knots,3
290,12,140 knots,140 knots,140 knots,140 knots,140 knots,140 knots,140 knots,140 knots,140 knots,140 knots,140 knots,140 knots,,,140 knots,3
291,12,160 knots,160 knots,160 knots,160 knots,160 knots,160 knots,160 knots,160 knots,160 knots,160 knots,160 knots,160 knots,,,160 knots,3
292,12,180 knots,180 knots,180 knots,180 knots,180 knots,180 knots,180 knots,180 knots,180 knots,180 knots,180 knots,180 knots,,,180 knots,3
293,12,200 knots,200 knots,200 knots,200 knots,200 knots,200 knots,200 knots,200 knots,200 knots,200 knots,200 knots,200 knots,,,200 knots,3
294,12,220 knots,220 knots,220 knots,220 knots,220 knots,220 knots,220 knots,220 knots,220 knots,220 knots,220 knots,220 knots,,,220 knots,3
295,12,240 knots,240 knots,240 knots,240 knots,240 knots,240 knots,240 knots,240 knots,240 knots,240 knots,240 knots,240 knots,,,240 knots,3
296,12,260 knots,260 knots,260 knots,260 knots,260 knots,260 knots,260 knots,260 knots,260 knots,260 knots,260 knots,260 knots,,,260 knots,3
297,12,280 knots,280 knots,280 knots,280 knots,280 knots,280 knots,280 knots,280 knots,280 knots,280 knots,280 knots,280 knots,,,280 knots,3
298,12,300 knots,300 knots,300 knots,300 knots,300 knots,300 knots,300 knots,300 knots,300 knots,300 knots,300 knots,300 knots,,,300 knots,3
299,12,320 knots,320 knots,320 knots,320 knots,320 knots,320 knots,320 knots,320 knots,320 knots,320 knots,320 knots,320 knots,,,320 knots,3
300,12,340 knots,340 knots,340 knots,340 knots,340 knots,340 knots,340 knots,340 knots,340 knots,340 knots,340 knots,340 knots,,,340 knots,3
301,12,350 knots,350 knots,350 knots,350 knots,350 knots,350 knots,350 knots,350 knots,350 knots,350 knots,350 knots,350 knots,,,350 knots,3
302,12,360 knots,360 knots,360 knots,360 knots,360 knots,360 knots,360 knots,360 knots,360 knots,360 knots,360 knots,360 knots,,,360 knots,3
303,12,370 knots,370 knots,370 knots,370 knots,370 knots,370 knots,370 knots,370 knots,370 knots,370 knots,370 knots,370 knots,,,370 knots,3
304,12,380 knots,380 knots,380 knots,380 knots,380 knots,380 knots,380 knots,380 knots,380 knots,380 knots,380 knots,380 knots,,,380 knots,3
305,12,390 knots,390 knots,390 knots,390 knots,390 knots,390 knots,390 knots,390 knots,390 knots,390 knots,390 knots,390 knots,,,390 knots,3
306,12,400 knots,400 knots,400 knots,400 knots,400 knots,400 knots,400 knots,400 knots,400 knots,400 knots,400 knots,400 knots,,,400 knots,3
307,12,410 knots,410 knots,410 knots,410 knots,410 knots,410 knots,410 knots,410 knots,410 knots,410 knots,410 knots,410 knots,,,410 knots,3
308,12,420 knots,420 knots,420 knots,420 knots,420 knots,420 knots,420 knots,420 knots,420 knots,420 knots,420 knots,420 knots,,,420 knots,3
309,12,430 knots,430 knots,430 knots,430 knots,430 knots,430 knots,430 knots,430 knots,430 knots,430 knots,430 knots,430 knots,,,430 knots,3
310,12,440 knots,440 knots,440 knots,440 knots,440 knots,440 knots,440 knots,440 knots,440 knots,440 knots,440 knots,440 knots,,,440 knots,3
311,12,450 knots,450 knots,450 knots,450 knots,450 knots,450 knots,450 knots,450 knots,450 knots,450 knots,450 knots,450 knots,,,450 knots,3
312,12,460 knots,460 knots,460 knots,460 knots,460 knots,460 knots,460 knots,460 knots,460 knots,460 knots,460 knots,460 knots,,,460 knots,3
313,12,470 knots,470 knots,470 knots,470 knots,470 knots,470 knots,470 knots,470 knots,470 knots,470 knots,470 knots,470 knots,,,470 knots,3
314,12,480 knots,480 knots,480 knots,480 knots,480 knots,480 knots,480 knots,480 knots,480 knots,480 knots,480 knots,480 knots,,,480 knots,3
315,12,490 knots,490 knots,490 knots,490 knots,490 knots,490 knots,490 knots,490 knots,490 knots,490 knots,490 knots,490 knots,,,490 knots,3
316,12,500 knots,500 knots,500 knots,500 knots,500 knots,500 knots,500 knots,500 knots,500 knots,500 knots,500 knots,500 knots,,,500 knots,3
317,12,520 knots,520 knots,520 knots,520 knots,520 knots,520 knots,520 knots,520 knots,520 knots,520 knots,520 knots,520 knots,,,520 knots,3
318,12,540 knots,540 knots,540 knots,540 knots,540 knots,540 knots,540 knots,540 knots,540 knots,540 knots,540 knots,540 knots,,,540 knots,3
319,12,560 knots,560 knots,560 knots,560 knots,560 knots,560 knots,560 knots,560 knots,560 knots,560 knots,560 knots,560 knots,,,560 knots,3
320,12,580 knots,580 knots,580 knots,580 knots,580 knots,580 knots,580 knots,580 knots,580 knots,580 knots,580 knots,580 knots,,,580 knots,3
321,12,600 knots,600 knots,600 knots,600 knots,600 knots,600 knots,600 knots,600 knots,600 knots,600 knots,600 knots,600 knots,,,600 knots,3
322,12,620 knots,620 knots,620 knots,620 knots,620 knots,620 knots,620 knots,620 knots,620 knots,620 knots,620 knots,620 knots,,,620 knots,3
323,12,640 knots,640 knots,640 knots,640 knots,640 knots,640 knots,640 knots,640 knots,640 knots,640 knots,640 knots,640 knots,,,640 knots,3
324,12,660 knots,660 knots,660 knots,660 knots,660 knots,660 knots,660 knots,660 knots,660 knots,660 knots,660 knots,660 knots,,,660 knots,3
325,12,680 knots,680 knots,680 knots,680 knots,680 knots,680 knots,680 knots,680 knots,680 knots,680 knots,680 knots,680 knots,,,680 knots,3
326,12,700 knots,700 knots,700 knots,700 knots,700 knots,700 knots,700 knots,700 knots,700 knots,700 knots,700 knots,700 knots,,,700 knots,3
327,12,Mach 1,Mach 1,Mach 1,Mach 1,Mach 1,Mach 1,Mach 1,Mach 1,Mach 1,Mach 1,Mach 1,Mach 1,,,Mach 1,3
328,12,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,Mach 1.2,,,Mach 1.2,3
329,12,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,Mach 1.5,,,Mach 1.5,3
330,12,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,Mach 1.7,,,Mach 1.7,3
331,12,Mach 2,Mach 2,Mach 2,Mach 2,Mach 2,Mach 2,Mach 2,Mach 2,Mach 2,Mach 2,Mach 2,Mach 2,,,Mach 2,3
332,12,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,Mach 2.5,,,Mach 2.5,3
333,12,Mach 3,Mach 3,Mach 3,Mach 3,Mach 3,Mach 3,Mach 3,Mach 3,Mach 3,Mach 3,Mach 3,Mach 3,,,Mach 3,3
334,12,Mach 4,Mach 4,Mach 4,Mach 4,Mach 4,Mach 4,Mach 4,Mach 4,Mach 4,Mach 4,Mach 4,Mach 4,,,Mach 4,3
335,12,winged him,I think I got him,that should give him something to think about,I'll bet that woke him up,winged him,winged him,that got his attention,that should give him something to think about,I bet that woke him up,winged him,I think I got him,knock knock,,,,4
336,12,splash one,splash one,splash one,splash one,splash one,splash one,splash one,splash one,splash one,splash one,splash one,splash one,,,,4
337,12,got a kill,got another candidate for early retirement,oh yeah,another one bites the dust,got a kill,smoked him,"I got him, I got him",score one,bagged him,that's a score,I got that kill,it's a dirty job,,,,4
338,12,that's a kill,bagged one,say goodnight,yeeessss,got a score,goodnight,scored one,splashed him,scratch one bandit,he's goin' down,hasta la vista,another one down,,,,4
339,12,smoked a bogey,lucky shot,take that,"good kill, good kill",smoked a bogey,good hit,lucky shot,good kill,bonus,boom,wham,"splash one, splash one",,,,4
340,12,nailed him,got him,see ya,he's outta there,nailed him,now that's what I call a serious case of lead poisoning,scratch one,scratch one bad guy,he's smokin',lights out,got him,got him good,,,,4
341,12,splash one,he's outta there,that's a hit,he's dead,scratch that bandit,scratch one,good kill,target down,he's dead,"good hit, good kill",scratch him,waxed him,,,,4
342,12,target goin' down,kill confirmed,right on target,"good kill, good kill",chalk one up for the good guys,chalk that one,hit 'im,alright,"good kill, good kill",good kill,sierra hotel,he's hosed,,,,4
343,12,toast one bandit,he's a goner,flamed that bandit,scratch one,toast one bandit,"good hit, good kill",good hit,he's toast,ouch,"tracking....Kill!",toast that one,bagged him,,,,4
344,12,that's a kill,nailed him,good shot,gotcha,that's a kill,that's a kill,that's a kill,that's a kill,got him,that's a kill,that's a kill,that's a kill,,,,4
345,12,down in flames,sweet,he's down,nailed him,say goodnight,blew him away,got him,scratch another,nailed him,"good kill, good kill",got him,take down,,,,4
346,12,he's outta there,whammo,better him than me,yesss,he's outta there,clobbered 'im,cleaned his clock,smoked him,yesss,that's a kill,good hit,knockout,,,,4
347,12,he's outta there,another kill,got him,"got him, got him",he's burning up,bingo baby,that's a hit,got him,"got him, good kill","impact, splash one","good hit, good kill",that's a take down,,,,4
348,12,bring 'em on,what else ya got,phuew pheeew,boyyy,splash one bandit,wasted 'im,what else,pheeew,boooyy,wow,what a waste,wiped out,,,,4
349,12,clean kill,that's gotta hurt,"good hit, good kill",toasted 'im,adios amigo,"I got 'im, splash one",auf wiedersehen,good hit,bagged that one,"smoked 'im, splash one","that's a hit, splash one",clipped his wings,,,,4
350,12,I think he's going down,another confirmed,got a kill,he's going down,"got him, got him",shot down in flames,jeeez,whoa,clean kill,"I got 'im, I got 'im",alright,"alright, alright",,,,4
351,14,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,5
352,14,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,5
353,14,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,5
354,14,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,5
355,14,Echo,Echo,Echo,Echo,Echo,Echo,Echo,Echo,Echo,Echo,Echo,Echo,Echo,Echo,Echo,5
356,14,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,5
357,14,Golf,Golf,Golf,Golf,Golf,Golf,Golf,Golf,Golf,Golf,Golf,Golf,Golf,Golf,Golf,5
358,14,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,5
359,14,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,5
360,14,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,Juliet,5
361,14,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,Kilo,5
362,14,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Lima,5
363,14,Mike,Mike,Mike,Mike,Mike,Mike,Mike,Mike,Mike,Mike,Mike,Mike,Mike,Mike,Mike,5
364,14,November,November,November,November,November,November,November,November,November,November,November,November,November,November,November,5
365,14,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,Oscar,5
366,14,Papa,Papa,Papa,Papa,Papa,Papa,Papa,Papa,Papa,Papa,Papa,Papa,Papa,Papa,Papa,5
367,14,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,5
368,14,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,Romeo,5
369,14,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,Sierra,5
370,14,Tango,Tango,Tango,Tango,Tango,Tango,Tango,Tango,Tango,Tango,Tango,Tango,Tango,Tango,Tango,5
371,14,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,Uniform,5
372,14,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,5
373,14,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,Whiskey,5
374,14,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,X-ray,5
375,14,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,Yankee,5
376,14,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,Zulu,5
377,12,all clear,all clear,all clear,all clear,all clear,all clear,all clear,all clear,all clear,all clear,all clear,all clear,,,all clear,6
378,12,clean and naked,clean and naked,clean and naked,clean and naked,clean and naked,"clean, clear and naked",clean and naked,clean and naked,"clean, clear and naked",clean and naked,clean and naked,clean and naked,,,clean and naked,6
379,12,situation normal,situation normal,sittin' pretty,everything's a-OK,situation normal,situation normal,situation normal,sittin' pretty,everything's a-OK,situation normal,situation normal,situation normal,,,situation normal,6
380,12,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,,,nothing to report,6
381,14,climb to,climb to,climb to,climb to,climb to,climb to,climb to,climb to,climb to,climb to,climb to,climb to,climb to,climb to,climb to,7
382,14,descend to,descend to,descend to,descend to,descend to,descend to,descend to,descend to,descend to,descend to,descend to,descend to,descend to,descend to,descend to,7
383,12,Angels 1,Angels 1,Angels 1,Angels 1,Angels 1,Angels 1,Angels 1,Angels 1,Angels 1,Angels 1,Angels 1,Angels 1,,,Angels 1,8
384,12,Angels 2,Angels 2,Angels 2,Angels 2,Angels 2,Angels 2,Angels 2,Angels 2,Angels 2,Angels 2,Angels 2,Angels 2,,,Angels 2,8
385,12,Angels 3,Angels 3,Angels 3,Angels 3,Angels 3,Angels 3,Angels 3,Angels 3,Angels 3,Angels 3,Angels 3,Angels 3,,,Angels 3,8
386,12,Angels 4,Angels 4,Angels 4,Angels 4,Angels 4,Angels 4,Angels 4,Angels 4,Angels 4,Angels 4,Angels 4,Angels 4,,,Angels 4,8
